year,unified_name,caseNumber
2021,"4fmi, llc",103
2021,cinnamon tree apartments,92
2021,monarch properties,88
2021,t and c management,87
2021,sun pointe park apartments,67
2021,arioso apartments,61
2021,"sky management, inc.",60
2021,arrowhead pointe apartments,55
2021,indigo park apartments,54
2020,rising phoenix apartments,149
2020,monarch properties,117
2020,t and c management,115
2020,"4fmi, llc",108
2020,arioso apartments,103
2020,aim properties,88
2020,mountain vista,85
2020,aztec village apartments,82
2020,cottonwood ranch,82
2020,sun pointe park apartments,82
2020,rhino realty property management,81
2020,"sky management, inc.",79
2020,elevated management group,77
2020,the arbors apartments,71
2020,the aspens,68
2020,cinnamon tree apartments,61
2020,tierra west estates,51
2020,casa del verde apartments,50
2020,fsc alvarado apartments lp,50
2019,t and c management,291
2019,tierra west estates,254
2019,sun pointe park apartments,202
2019,monarch properties,183
2019,"4fmi, llc",168
2019,the aspens,165
2019,"sky management, inc.",162
2019,cottonwood ranch,151
2019,alta vista apartments,144
2019,rhino realty property management,136
2019,sun village apartments,119
2019,aztec village apartments,117
2019,villas at la privada,116
2019,cantata at the trails,112
2019,villa hermosa,112
2019,bluewater village apartments,110
2019,casa bella apartments,109
2019,mountain vista,109
2019,arioso apartments,108
2019,diamond mesa,106
2019,wyoming terrace manufactured housing community,106
2019,spain gardens apartments,105
2019,aim properties,103
2019,cinnamon tree apartments,103
2019,elevated management group,102
2019,canon de arrowhead,96
2019,academy terrace,95
2019,copper ridge apartments,95
2019,"fsc arroyo villas, llc",93
2019,lucaya apartments,93
2019,desert creek apartments,87
2019,the villas @ uptown,84
2019,animas valley land and water company,82
2019,whispering sands apartments,82
2019,jefferson crossing apartments,77
2019,arrowhead pointe apartments,76
2019,indigo park,76
2019,la vida nueva apartments,75
2019,tierra pointe apartments,73
2019,valley view villas,72
2019,core vistas at seven bar ranch,69
2019,the retreat at candelaria,66
2019,manzano vista apartments,65
2019,marron park apartments,65
2019,playa escondida,65
2019,rising phoenix apartments,65
2019,sun plaza apartments,65
2019,casitas de bella,63
2019,three sons property management,63
2019,mission hill apartments,62
2019,casa del verde apartments,59
2019,independence capital,57
