plaintiff1_cleaned,caseNumber
t and c management,2115
sky management inc,974
core vistas at seven bar ranch,935
cwr residential llc  doing business as  cottonwood ranch apartments,853
mountain vista,828
arioso apartments,801
lucaya apartments,791
academy terrace,781
bluewater village apartments,776
manzano vista apartments,774
desert creek apartments,745
aim properties,737
"4fmi, llc",724
sky management incorporated,723
tierra pointe apartments,716
sun pointe park apartments,654
whispering sands apartments,647
three sons property management,641
casa bella apartments,640
rio volcan apartments,622
aztec village apartments,621
diamond mesa,590
alta vista apartments,582
aspen ranch partners llc  doing business as  the aspen apartments,566
canon de arrowhead,565
monarch properties,559
valley apartments,554
sandia valley apartments,536
sun village apartments,532
the arbors apartments,523
sun pointe park,510
somerset park apartments,504
animas valley land and water company,480
thompson michie associates  doing business as  cinnamon tree apartments,479
fsc la paloma llc,478
villa hermosa,476
"rodriguez, gilbert",440
the courtyards,425
mission hill apartments,425
tyson properties inc,419
bean llc  doing business as  eagle point apartments,418
tierra west estates,406
la entrada,404
sedona investments llc  doing business as  vista del sol mobile home community,403
eagle ranch apartments,403
pinnacle management group,402
the retreat at candelaria,396
casa del verde apartments,389
sun plaza apartments,387
becker properties,386
mesa verde,384
spain gardens,380
cinnamon tree apartments,379
meadowbrook mobile home park,374
uptown park place llc,373
arrowhead pointe apartments,372
sun west properties,370
copper ridge apartments,361
casa del verde,358
p2 properties,353
wyoming place apartments,351
sena properties inc,350
independence capital,348
arrowhead ridge,347
cantata at the trails,347
casa grande,341
chamisa management,339
entrada pointe,339
arroyo villas,335
whispering sands,334
"man, xiyuan",317
sombra del oso apartments,316
dorado heights apartments,314
dona ana properties llc,314
mountain view apartments,311
cwr residential ltd  doing business as  cottonwood ranch,307
taylor ridge residential lp  doing business as  taylor ranch apartments,306
san miguel del bosque apartments,306
jefferson crossing apartments,305
coronado village,304
chateau apartments,289
wyoming terrace llc  doing business as  wyoming/terrace manufactured housing community,289
warren properties inc  doing business as  warren coronado apartments,286
talavera apartments,284
nowak properties,283
ventana ranch apartments,282
villa la charles,282
mountain run apartments,281
fsc arroyo villas llc,280
citadel apartments,280
wyoming terrace llc  doing business as  wyoming/terrrace manufactured housing community,279
spring park apartments,279
la vida nueva,278
marron park apts,277
aztec village,274
elevated management group,272
albuquerque housing authority,271
la vida nueva apartments,267
el sueno communities,265
casa bonita,264
volcanes commons apts,261
plaza dorado apartments,257
tandc management,253
"reazin, carl",251
south pointe village llc,250
aspen ranch partners llc  doing business as  the aspens,250
bruni karr agency,249
tierra west estates mhc,249
villas at la privada,247
"singleton, sherman",245
alta vista,245
rhino realty,242
camino real apartments,241
animas valley leasing llc,241
ps properties,240
sunshine country mobile home park,240
sky management and insurance inc,240
red hill mobile home prk  formerly known as  red hill mobile home park  formerly known as  red hill mobile park  formerly known as  red hills mobile home park,237
las palomas apartments,237
fpi management incorporated  doing business as  sun village apartments,235
la entrada apartments,235
marron park apartments,231
"sky management, inc.",230
las villas de valencia,230
canoan village apartments,229
suncreek village apartments,224
steinborn inc realtors,222
rising phoenix apartments,221
sierra meadows apartments,219
tyson properties incorporated,219
cibola village,218
la mirage apartments,217
del rio apartments,217
j and c enterprises,215
the villas @ uptown,212
"mathers realty inc  formerly known as  mather realty  formerly known as  mathers realty  formerly known as  mathers realty inc.  formerly known as  mathers realty, inc  formerly known as  mathers realty, inc.  formerly known as  mathers reatly inc",211
candlelight square,209
valencia court apartments,209
red hill mobile home prk,208
home @ uptown,208
mathers realty inc,207
the silverado apartments,204
network realty llc,204
picacho vista mobile home community,203
aaa premier property management,202
the villas at la privada,202
eandh properties,201
acc op (unm south) llc  doing business as  lobo village,196
clovis housing and redevelopment agency inc,195
pinewood estates apartments,195
hotel clovis lofts,193
dom garcia realty,188
canyon point apts,187
town management  doing business as  broadstone ladera apartments,187
santa teresa terrace,183
colonial real estate,183
core vistas @ 7 bar ranch,180
real property management,180
playa escondida,179
the links at high resort,176
arrowhead ridge apts,176
canyon point apartments,174
the resort at sandia village,174
copperfield apartments,173
the villas at la privada apartments,172
desert willow apartments,171
casa grande realty,171
la pradera,170
rhino realty property management,170
donald young dba young rental,169
chelsea village,168
highland park apartments,167
mesa verde apartments,167
mesilla valley public housing authority,167
lincoln heights apartments,167
tierra realty,167
villa hermosa apartments,165
american realty,164
casa bella,163
fsc alvarado apartments lp,163
monterra apartments,163
west ridge mhp,163
eagle real estate,162
saddleback valley,162
mesa ridge apartments,162
arroyo villas apartments,161
villa escondida,160
aspen ridge apartments,160
countryside mobile home park,160
4fmi llc,159
thompson michie associates  doing business as  wellington place apartments,159
lincoln heights apts,158
alliance residential  doing business as  sun village,158
crestridge apartments,157
manzano mesa apartments,157
summer winds mobile home park,157
tierra west mobile home community,156
playa del sol,156
indigo park apartments,155
netherwood village,155
red hill mobile home park,155
paseo del sol apartments,154
"martinez, adolfo",152
brandywood park apartments,151
tierra west,150
casa bonita apartments,148
four hills park group  doing business as  four hills private community,148
enchanted vista apartments/gsl properties,146
tgm associates lp  doing business as  sedona ridge,146
"dominguez, joe",145
vista grande apartments,143
indigo park,142
netherwood village apartments,142
western states apartments  doing business as  mirabella heights apartments,142
canyon vista,141
"animas valley leasing, llc",140
cottonwood commons,140
cibola management and property solutions llc,139
academy square apartments,139
warren properties incorporated  doing business as  warren coronado apartments,139
spain gardens apartments,138
retreat @ candelaria,137
green leaf cottonwood,137
maddox management llc  as agent for owner,135
mesa mobile home park llc,134
santa fe civic housing,133
paseo del sol,131
oak tree park apartments,131
vista alegre apartments,130
rancho carrera,130
las brisas apartments,130
lincoln place apartments,129
sunset mobile home park,129
"monka, jeff",129
villa del sol,128
"gallegos, guadalupe",128
homestead apartments,127
the bluffs at tierra contenta,127
"bean, llc  doing business as  eagle point apartments",127
tuscany at st francis,127
wyoming terrace llc  doing business as  wyoming terrace manufactured housing community,126
la vida nueva apts,126
wright realtor property management,125
dynasty west apartments,125
river glen apartments,124
the overlook,123
barnhill property management,123
eastern regional housing authority management,120
panorama heights apartments,120
puerta del sol apartments,120
vista manufactured home community limited partnership  doing business as  vista mhc,119
vista linda apartments,119
plaza feliz apartments,118
sedona investments llc,118
three sons property mgmt,117
san miguel court,117
arrowhead pointe,117
grimes properties,117
newlife homes new mexico,117
hidden valley village,117
signature real estate,116
"las brisas rentals, llc",116
las brisas rentals,116
southwest real estate,115
la vida buena,114
canyon ridge apartments,114
albuquerque housing authority a public body corporate,112
canyon vista apartments,111
lois oliver real estate,111
cimmaron apartments,111
sedona ridge apartments,111
casitas de bella,111
red bluff trailer park,110
amwest property mgmt,110
"galaway, james",109
"cox, john",109
four hills studios,108
aspen ranch partners llc,108
mesa ridge,108
continental arms,108
"davis, ken",107
"villicana, antonio",107
"carman, david michael",107
villa serena apartments,107
"spaulding, george",106
olympus encantada,106
fpi management cap iv albuquerque llc  doing business as  the courtyards,106
rhino realty prop mgt,105
century 21 home planning,105
enchanted hills mhp,105
canyon ridge,104
sandia valley,104
sandia vista apartments,104
northpointe village apartments,104
villas at la privada apartments,104
logan property management  doing business as  villas esperanza,103
acc op (unm main i) llc  doing business as  casas del rio,103
prairie hills apartments,103
continental arms apartments,102
"mhoon, jayme",102
warren properties inc  doing business as  warren sandia apartments,101
ventana ranch apts,101
enchanted vista apartments,101
sunshine property management,100
"tyson properties, inc.",100
"valenzuela, harvey",99
desert lakes realty,99
riverwalk/la paz apartments,99
villas esperanza,99
cesar chavez foundation  doing business as  la vida nueva apartments,98
casa grande realty llc,98
park place apts,98
su casa realty,98
monarch real estate,98
dona ana properties,97
copper ridge,96
copperstone apartments,96
canoan village,96
thompson michie associates,96
"allen, gene",95
mesa ridge apts,94
avantic residential  doing business as  la entrada apartments,94
executive rentals,94
arroyo vista apartments,93
del mesa properties,93
quay apartments,93
sierra verde apartments,92
redhill mobile home park,92
villa de san felipe apartments,92
teal properties,92
jefferson crossing,92
los manzanos apts,90
cloudview terrace apartments,90
hillcrest mobile home park,90
el pueblito apartments,89
rock creek apartments,89
clovis apartments,88
prime jane place llc  doing business as  the retreat at candelaria,87
san tierra apartments,87
b and m investments,87
pearl at spring creek,87
lane properties of new mexico llc,87
thompson michie associates  doing business as  comanche wells apartments,87
the retreat @ candelaria,86
deming realty co,86
warren inn apts,86
"western investment properties, llc",86
arrowhead ridge apartments,85
romero rentals,85
era montgomery real estate,85
jandd property management llc,84
"ccc-new mexico, llc  doing business as  valley view villas",84
colony garden apartments,84
"reazin, dorothy",83
roselawn manor apts.,83
vista grande,82
eagle point apartments,82
select homes llc,82
brickleys property solutions,82
abo apartments,82
lincoln place apts,82
the french quarter,82
la vida buena apartments,81
sunrise investments llc,81
city of albuquerque,81
enchanted hills apartments,80
bandm enterprises,80
prime spain llc spain gardens,80
"chadwick, chad",80
monte vista rentals,80
retreat at candelaria,80
sierra meadows,80
anasazi village apts,79
"montoya, charles",79
vista alegre,79
showe management corporation,79
the laurels at uptown,79
sandpiper apartments,78
aztec village mhc  doing business as  aztec village manufactured home community,78
"yes companies exp2, llc and yes home sales exp, llc, dba valley verde mhc",78
four hills community llc  doing business as  four hills private community,77
starr roc monterra llc,77
"vera, victor",77
glorieta apartments,77
casa bella apts,77
sky management and insurance,77
avantic residential  doing business as  monterra apartment homes,76
monarch real estate corp,76
articulated investments,76
"paiz, michael",76
telshor apartments,76
rosewood mhp,75
smit flp #1,75
couture brokerage,75
"landers, jess",75
"ferrera, margaret",75
aim properties llc,75
arroyo villas apts,74
vista linda apts,74
pinewood estates apt,74
fsc alvarado lp,74
alliance residential company  doing business as  broadstone solaire,74
riverstone management inc,74
mission hill apts,74
ventana canyon apartments,73
century 21 home planning property management,73
blue water village apartments,73
"sky management, incorporated",73
csd property management,73
ccc-new mexico llc  doing business as  valley view villas,73
"rodriguez, alberto",73
hobbs apartments,73
casamera apartments,72
bandm investments,72
plaza ciudana apartments,72
osuna apartments,72
monarch real estate corp.,72
silver moon lodge apartments,72
cedar hills apts,71
supportive housing coalition of new mexico,71
tyson properties,71
pc aspen ridge,71
coldwell banker,71
sky management,71
la villa alegre apartments,70
"rios, alberto",70
cedar hills apartments,69
berger briggs real estate,69
charro mobile home park,69
pinon terrace apartments,69
jamboree management  doing business as  the lakes apartments,69
"rodriguez, paul",69
city of albuquerque a municipal corporation,69
mission rock residential  doing business as  candlelight square,69
tdc properties,69
warren properties incorporated,68
sun village apts,68
ladera apartments,68
queen's point apartments,68
las brisas rentals llc,68
mountain vista apartments,68
bell and dicken rentals,67
bella vista townhomes,67
the courtyard apartments,67
warren properties inc,67
warren properties incorporated  doing business as  warren sandia apartments,67
academy heights apartments,67
abq encore apartments,67
caprock rentals,67
cfh partners-diamond mesa,67
los manzanos apartments,66
village at avalon apartments,66
absolute property management llc,66
sungate apartments,66
chamisa management corp,66
the landings at cottonwood,66
tres santos,66
truth or consequences housing authority,66
sedona village,66
capri manor apartments,66
via tijeras,65
berger briggs real estate and insurance inc,65
"dona ana properties, llc",65
north court mhp,65
ladera vista apartments,65
vista del sol apartments,65
"tiryaki, ahmet",65
telshor manor apts,64
desert oasis,64
loewen clovis realty,64
rachel's rentals,64
villas de san ignacio apartments,64
andalucia villas llc,64
aztec village mhc llc,64
ortiz apartments,64
wenonah llc  doing business as  village at four hills,64
stovall rentals,64
berkshire hathaway home service enchanted lands realtors,64
sun ridge village,64
pueblito de paiz apartments,64
"tyson properties, inc",63
san juan apts,63
gallup housing authority,63
select properties inc,63
"orwat, david",63
warren properties inc  doing business as  warren louisiana apartments,63
e and h properties,63
ledgestone apts.,63
"farooq, khalid",62
dom garcia realty ltd,62
"sky management and insurance, inc",62
cibola management services,62
ventana cove,62
country club mobile home manor,62
greco rentals,62
the performance company realtors,62
"serna, roland",62
deemer properties,62
sandpiper apts,61
colonial hillcrest apartments,61
westwood management services incorporated fsc greenway llp  doing business as  spring park apartments,61
nm rentals,61
las kivas apartments,61
abq property management,60
robledo ridge apartments,60
"sanchez, frank",60
sage canyon apartments,60
andalusia apartments,60
warren inn apartments,60
the artisan apartments,60
north park apts,59
sun village,59
sandia vista apts,59
"brickleys, llc",59
alliance residential company,59
homespot property management,59
taylor ridge residential lp,59
t and c management llc,59
lido apartments,59
combs' properties,58
aspen ranch partner llc  doing business as  the aspens,58
white oak apartments,58
westpark apartments,58
sunland realty,58
thurston realty,58
portals apartments,58
keith properties,58
pinewood estates,58
first place leasing inc,57
central mobile home park,57
select properties incorporated,57
brickleys llc,57
coal properties,57
mesa mobile home park,57
"haynes, ken",57
sci presidio at northeast heights llc,57
century 21,57
four seasons apartments,56
el pueblo/madeira,56
the palazzo,56
bruni karr rental and mgmt agency,56
"summer winds associates mhp, llc",56
sombra del oso,56
tony rentals,56
"gonzales, julia a",56
warren coronado apartments,56
v and w mobile home park,56
the towers apartments,56
casa del verde apts,56
amwest property management,56
advantage pointe properties,56
villas of briar ridge,56
rick quant and company  doing business as  green acres mobile home park,55
taylor ridge apartments,55
la terraza apartments,55
wyoming terrace llc,55
southwest reconstruction,55
homespot properties,55
jamboree management,55
santa fe civic housing authority,55
penn mar apartments,54
kona kai apartments,54
shapiro properties,54
sedona ridge,54
bear creek apartments,54
"sandoval, sam",54
casa bonita apartment,54
triple j mobile home park,54
trust properties / frilc llc,54
warren properties inc dba warren coronado apartments,54
monarch properties sangre de cristo,54
"fliss, martin",54
"dominguez, david",54
ta russell and co inc,53
the verge apartments,53
caruso realty llc,53
warren properties inc  doing business as  warren house south apartments,53
comb's properties,53
bridge property management  doing business as  suncreek village apartments,53
"sena properties, inc.",53
villas esperanza apartments,53
tierra montosa,53
clovis housing,53
sena properties incorporated,53
"grube, john",52
clovis housing and redevelopment agency,52
chamisal trailer park,52
century 21 - home planning,52
los arboles mobile home village,52
"warren properties, inc.  doing business as  warren coronado apartments",52
mission rock residential  doing business as  ventana canyon,52
the pearl at spring creek,51
cottonwood ranch apartments,51
grants apartments,51
franco rentals inc,51
"carter, rodger",51
rio properties inc,51
"garcia, dan",51
nan,51
sun pointe park apts,51
las lomas apartments,50
"dona ana properties, llc  formerly known as  dona ana properties  formerly known as  dona ana properties llc",50
"romero, tommy",50
j and d property management llc,50
combs properties,50
"reames, don",50
cwr residential llc,50
fsc dorado heights,50
dorbandt realty,50
villas del cielo,50
san pedro village apartments,49
dallas rentals,49
"the mesa home park, l.l.c.",49
tres santos apartments,49
mission rock residential  doing business as  pearl at spring creek,48
academy north mh park,48
"hernandez, zeke",48
"sky management, inc",48
fpi management incorporated  sun village apartments,48
white sands community,48
"kaycasa properties, llc",48
avenue 5 residential,48
bean llc,48
the palazzo at sandia heights,48
double r realty,48
oak tree park,48
the villas at uptown,48
wilshire gardens,48
"miller, jason",48
trust properties/frilc llc,48
presidio at the northeast heights,47
warren properties incorporated  doing business as  warren continental apartments,47
"sena properties, inc",47
"sanchez, richard",47
sagebrush real estate,47
warren properties inc  doing business as  warren continental apartments,47
discovery 1 realty,47
mesilla valley public housing,47
maddox management llc as agent for owner,47
canal park llc,47
ortiz properties,47
"south pointe village, llc",47
sandia ridge apartments,47
housing authority of the city of las cruces  also known as  housing auth.  also known as  housing auth. las cruces  also known as  housing auth. of las cruces  also known as  housing author.  also known as  housing author. las cruces  formerly known as  housing authority  formerly known as  housing authority city of lc  formerly known as  housing authority clc  formerly known as  housing authority of city of las cruces,46
pinnacle view  doing business as  indigo park,46
"nelson, rick",46
avenue 5 residential  as agent for owner  canon de arrowhead icg llc,46
wyoming terrace llc  doing business as  wyoming/terrance manufactured housing  community,46
"martinez, roberto",46
vista del rio apartments,46
new life homes,46
"melwani, arjan",46
canyon vista apts,46
"lujan, wayne",46
picacho vista homes llc,46
"schultz, ian g  doing business as  brentwood apartments",46
lucaya apts,46
broadstone towne center,46
pmi of new mexico,45
chamisa management corp.,45
landmark real estate and investment,45
canyonstone apartments,45
the courtyards apartments,45
corner post co  as agent for owner,45
montoya properties,45
conquistador apartments,45
prudential enchanted lands property management,45
sandoval and associates,45
jandc enterprises,45
earnest enterprisers llc  doing business as  barcelona mobile home park,45
young rentals,45
hunter's ridge apartments,45
vista del sol,45
coldwell banker legacy,45
park place apartments,45
land of enchantment inc,45
canoan village apts,45
shadrach properties llc,44
sun point park apartments,44
vizcaya apartment homes,44
otero village apartments,44
"colonial real estate  formerly known as  colonial real estate, inc.  formerly known as  colonial realestate  formerly known as  roberts, shauna",44
san juan realty,44
la privada apts,44
"havens, leroy",44
lolomas apartments,44
casa dos santos,44
"nilsson, phillip",44
monterra apartment homes,44
villa de san felipe,44
"mathers realty, inc.",43
sedona investments llc  doing business as  vista del sol mobile home park,43
kirtland family housing,43
berkshire hathaway home services enchanted lands realtors,43
paseo del sol apts,43
"the phoenix property management, llc",43
sun ridge village apartments,43
vista del rio apts,43
"earp, wyatt daniel",43
"omni and centre square home community, llc",43
peak management  doing business as  desert hills apartments,43
mathers realty,43
entrada pointe apartments,42
argib management,42
ledgestone apts,42
emerald real estate management,42
rock creek apts,42
b and t communities llc,42
sky management and insurance inc.,42
"romero, frank",42
country club apartments,42
siegel suites,42
imperial apartments,42
double d llc,42
"alvarado, heriberto",42
maddox management llc,42
"ah4r management-nm, llc",42
west ridge mobile home park,42
los altos apartments,42
sun ridge village apts,42
warren properties inc  doing business as  warren west apartments,42
rhino realty prop,42
stern llc,42
canyon point,42
"chambers, lorenzo",42
alameda acres mhp,41
holly gardens,41
paseo del rio apartments,41
"barraza, patricia",41
the view abq,41
coyote property services,41
ventana canyon,41
"lawson, michael",41
new mexico home central,41
el vado place apartments,41
burndout re nm llc  doing business as  somerset park apartments,41
re/max first place realtors,40
crestridge apts,40
"martinez, robert",40
raton housing authority,40
"gonzalez, casimiro",40
greystar  doing business as  diamond mesa,40
bridge property management suncreek village apartments,40
jed properties llc,40
"driscoll, derek",40
woodleaf apartments,40
ammre inc,40
andalusia,40
cloudview terrace,40
"shows, leonard",40
alliance residential company  doing business as  broadstone high desert apartments,40
el pueblo madeira apartments,40
deming manor apartments,40
cottonwood ranch apts,40
"espinoza, maria",40
thompson michie associates  doing business as  telegraph hill apartments,40
falcon ridge apartments,40
sky management inc.,39
the bluffs @ tierra contenta,39
greystar management services  doing business as  diamond mesa apartments,39
"padilla, eloy",39
landmark real estate and investment inc,39
community housing resources inc,39
"jeffers, nathan",39
ledgestone apartments,39
pueblo de chamisa,39
"whiteside, richard",39
candlelight square apartments,39
"hanley, huong",39
village realty,39
"eagle real estate, llc",39
tgm associates lp  doing business as  oak tree park apartments,39
"salazar, ed",39
san miguel ct.,38
cmg properties llc,38
san miguel del bosque,38
ammre inc as agent for owner,38
b and t communities,38
vista del rio,38
"dawson, myers",38
"salas-zuhl, llc",38
ccc new mexico llc  doing business as  valley view villas,38
warwick realty,38
"gouett, sue",38
the phoenix property mgmt. llc,38
fpi management incorporated,38
three g's properties,37
la villa alegre apts,37
riverwalk/ la paz apartments,37
taylor ridge residential lp  doing business as  taylor ranch,37
mesa verde apts,37
"wc 2241, llc",37
longview mhc,37
casa hermosa apartments,37
gdr property management llc,37
fung lin apt,37
san isidro,37
vp tierra pointe llc,37
clovis housing  formerly known as  clovis housing and red agency inc  formerly known as  clovis housing and redev agency inc  formerly known as  clovis housing and redevelopment  formerly known as  clovis housing and redevelopment agency  formerly known as  clovis housing and redevelopment inc  formerly known as  clovis housing agency  formerly known as  clovis housing and redevelope  formerly known as  clovis housing authority,37
beacon realty,37
dakota canyon apartments,37
sandoval and associates llc,37
peak management  doing business as  sunrise villas apartments,37
villa de gallup,37
"garcia, bob",37
"arana, hector",37
dorbandt realty llc,36
warren properties inc  doing business as  warren house apartments,36
southwest property management,36
talavera apts  formerly known as  meadows of santa fe,36
"wright, isaac",36
swpm property management,36
era montgomery,36
mkjs investments i llc,36
mesa grande of nm llc,36
the valencia,36
el paseo apartments,36
gdr property solutions llc,36
franklin vista apartments,36
rq #8 llc  doing business as  blue spruce mobile home park,36
j and m realty,36
western recovery,36
b square real estate,36
rich-port realty,35
"saavedra, flaviano, jr.",35
warren properties incorporated  doing business as  warren louisiana apartments,35
the virginian apartments,35
redberry llc,35
el cerrito,35
the village park mhc  doing business as  the village park manufactured home community,35
"rental management services, inc.",35
thunderbird mobile home park,35
"davidson, gary",35
"waggoner, ricky",35
western skies mobile home prk,35
telegraph hill apartments,35
mountain run apts,35
mirabella heights apartments,35
rental management services,35
manda family homes,35
thunderbird property management and realty company,35
sierra verde apts.,35
"ahlers, mike",34
"orr, ron",34
wagon wheel mobile home park,34
home @ uptown apts,34
ta russell and company incorporated,34
broadmoor partners/cree manor apartments,34
